Kernel;CPU;NVIDIA;FullNaive;SepNaive;SepShared;SharedUnroll;SharedTile;SharedTileC
3;0.080358838;0.00627978;0.00823756;0.00620792;0.00599076;0.00609058;0.0065987;0.00649526
5;0.127772441;0.00616548;0.01708824;0.00919734;0.00614814;0.00602086;0.00675038;0.00661536
7;0.176952207;0.00617972;0.026739021;0.00835674;0.00610526;0.00609726;0.00675746;0.00650288
9;0.227680918;0.00616636;0.042038242;0.00953954;0.00616786;0.00615454;0.0067534;0.00656106
11;0.277925957;0.00628096;0.061637319;0.01080054;0.0065139;0.00650086;0.00675938;0.00660616
13;0.329120312;0.00630148;0.082756855;0.01216996;0.00662244;0.00672652;0.006883;0.00660932
15;0.376348633;0.006301;0.10819918;0.013319041;0.00703602;0.00692696;0.00694114;0.00663758
17;0.429158672;0.00648064;0.133548838;0.01423098;0.00761198;0.00760764;0.00677996;0.00650658
